Date_Time,Rainfall,Solar_Energy,Relative_Humidity,Temperature,ObjectId
2005/09/13 16:00:00+00,0,98,67.4,19.9,1
2006/11/27 10:00:00+00,0,159.5,75.2,14.2,2
2005/09/14 07:00:00+00,1,54.8,94.7,17.8,3
2006/12/14 04:00:00+00,0,-0.6,83.1,12,4
2005/09/14 22:00:00+00,0,-1.4,86.4,17.1,5
2006/12/17 14:00:00+00,0,78.7,72.9,10.5,6
2005/06/28 12:00:00+00,0,553.2,45.3,25.1,7
2005/06/28 16:00:00+00,0.4,27.4,41.3,24.1,8
2006/08/07 11:00:00+00,0,494.3,62.5,19.7,9
2005/07/01 18:00:00+00,0.2,57.1,87.5,17.9,10
2006/08/06 11:00:00+00,0,810.7,66.8,24.3,11
2005/07/03 08:00:00+00,0,484.8,54.8,19.1,12
2006/08/17 06:00:00+00,0.2,22,84.3,15.6,13
2005/07/09 12:00:00+00,0,860,40.8,25.5,14
2006/09/30 11:00:00+00,,,,,15
2005/07/14 10:00:00+00,0,667.1,47.1,29,16
2006/10/12 13:00:00+00,0,217.8,66.1,18.4,17
2006/10/13 14:00:00+00,0,158.1,65.5,18.5,18
2005/07/16 15:00:00+00,0,633.4,45.4,23.7,19
2006/08/10 14:00:00+00,0,300.1,61.8,19.3,20
2005/07/17 21:00:00+00,0,-3.2,64,18.6,21
2006/08/10 11:00:00+00,0,514.3,56.5,19.8,22
2005/07/20 07:00:00+00,0,183.7,71.6,17.9,23
2006/08/20 12:00:00+00,0,293.9,68.5,18.9,24
2005/07/20 18:00:00+00,0,175.3,48.7,20.4,25
2006/08/21 01:00:00+00,0,-1.1,90.1,15.8,26
2005/07/20 23:00:00+00,0,-3.1,73.9,16.7,27
2015/05/11 02:00:00+00,0,0,93.6,13.7,28
2005/08/01 19:00:00+00,8.9,18.3,76.5,18.3,29
2015/05/13 17:00:00+00,0,237.5,38.6,18.5,30
2005/08/02 10:00:00+00,0,772.3,49.9,23.7,31
2015/05/13 23:00:00+00,0,0,68.1,12.8,32
2005/11/03 13:00:00+00,0,253.3,73.9,16,33
2015/05/18 03:00:00+00,0.2,0.1,93.1,10.1,34
2005/11/09 02:00:00+00,0,-1.8,91.8,6.7,35
2015/05/22 21:00:00+00,0,0,99.1,13.9,36
2005/11/19 03:00:00+00,0,-2.9,94.3,-0.8,37
2015/05/24 10:00:00+00,0,121.9,98.4,14.5,38
2005/11/24 12:00:00+00,0,151.5,81.3,10.9,39
2015/05/30 20:00:00+00,0,0,84.9,13.1,40
2005/11/27 21:00:00+00,0,-2.8,80.1,3.3,41
2015/05/31 10:00:00+00,0,272.4,85.3,14.2,42
2005/11/28 13:00:00+00,0,75.8,76.1,5,43
2015/06/04 05:00:00+00,0,171.2,81.7,12.9,44
2005/12/01 10:00:00+00,0,51.3,84.7,10.4,45
2015/06/10 19:00:00+00,0,42.1,58.7,16.2,46
2005/12/02 20:00:00+00,0.2,-0.2,89.7,7.5,47
2015/06/13 04:00:00+00,1.2,4.7,100,14.4,48
2005/12/04 22:00:00+00,0,-2.9,84.1,6.4,49
2015/06/13 17:00:00+00,0,18.6,90.4,17,50
2005/12/06 11:00:00+00,0,63.8,83.6,6.3,51
2015/06/15 03:00:00+00,0,1,82.2,12.1,52
2005/09/15 16:00:00+00,0,96,80.6,18.8,53
2015/06/17 11:00:00+00,0,249.2,94.1,17.7,54
2005/09/19 23:00:00+00,0,-1.2,74.9,14.7,55
2015/06/21 15:00:00+00,0,474.8,59.7,18.4,56
2005/09/20 13:00:00+00,0,405.6,57.4,22.2,57
2005/09/20 22:00:00+00,0,-3.2,85.6,13.1,58
2015/07/01 02:00:00+00,0,0,65.8,21.6,59
2005/10/03 10:00:00+00,0,124.6,61.4,14.2,60
2015/07/06 00:00:00+00,0,0,96.6,13.4,61
