# Missing entries are shown as -999 value.
Query,Refcode,ANG1,ANG2,ANG3,ANG4,R-factor,Study Temp.
2,ABEBUG,107.775,104.241,106.684,115.986,2.920,150
2,ABECER,119.168,107.584,103.463,105.580,4.860,150
2,ABECIV,109.473,104.126,109.126,120.683,3.330,150
2,ADABUF,119.241,116.939,106.037,96.050,2.900,100
2,ADACIU,90.496,90.187,90.369,89.367,3.860,100
2,ADEHEX,110.759,103.140,110.759,114.426,4.290,296
2,ADEQOS,115.098,95.599,114.973,97.386,2.500,293
2,ADEQUY,131.523,94.094,131.017,112.025,4.910,293
2,ADERAF,95.766,107.970,95.766,110.446,2.210,150
2,ADEREJ,117.637,97.303,102.857,97.217,4.340,293
2,ADEREJ,116.106,120.634,104.406,122.042,4.340,293
2,AFEDOH,111.668,115.938,109.133,114.440,4.570,296
2,AFIVIV,86.903,121.020,103.585,110.463,4.360,167
2,AFOYIF,138.732,110.617,110.089,110.617,4.080,293
2,AFUVAY,109.595,113.658,97.832,113.073,4.850,293
2,AGAVAI,90.965,107.150,81.253,81.515,3.420,110
2,AGUBIO,80.873,95.929,93.512,94.863,3.500,296
2,AGUGEP,94.413,85.587,94.413,85.587,3.380,173
2,AGUTED,107.612,108.321,105.330,107.847,3.990,180
2,AGUTED,108.674,110.844,114.620,108.979,3.990,180
2,AHAPAC,118.500,103.357,116.325,108.345,2.290,173
2,AJALAZ,71.365,108.635,71.365,108.635,2.750,100
2,AJALUT,111.995,117.334,87.618,108.324,2.580,130
2,AJEBEW,92.169,113.483,109.479,106.858,3.740,293
2,AJILAG,86.910,92.915,87.128,93.026,3.890,218
2,AJUPOM,110.893,103.660,109.010,121.499,3.190,150
2,AJUPOM,113.931,118.375,109.911,106.805,3.190,150
2,ALAWOZ,114.702,116.983,83.722,120.518,2.900,293
2,ALOPUN,109.390,112.858,106.724,106.286,4.600,100
2,AMIROD,111.361,100.061,111.361,118.047,5.000,293
2,ANEPOA,120.245,116.083,96.351,116.068,3.310,293
2,APEVOH,98.715,81.557,81.270,98.461,4.360,130
2,APIBAD,113.225,95.614,130.567,95.865,3.850,295
2,AQIHOY,99.248,108.710,99.248,125.274,4.720,150
2,AQIPAR,125.016,86.785,123.037,86.704,3.710,168
2,AQIPUL,100.120,102.746,100.120,127.736,3.240,168
2,ARUFUP,114.546,114.947,80.643,105.549,4.970,150
2,ASOKOI,120.363,105.388,105.757,107.811,4.370,173
