# Missing entries are shown as -999 value.
Query,Refcode,ANG1,ANG2,ANG3,ANG4,R-factor,Study Temp.
1,ABANEX,86.286,91.877,91.402,90.744,4.110,150
1,ABEJIA,98.505,100.045,83.356,79.567,4.160,120
1,ABEJOG,100.686,99.261,78.550,82.795,3.910,120
1,ABICUK,90.091,95.485,78.441,96.040,2.900,173
1,ACABRH02,88.932,89.786,90.827,90.452,3.800,295
1,ACABRH03,90.670,90.336,88.950,90.043,2.620,120
1,ACRHCP,87.790,92.434,87.916,91.934,4.300,295
1,ACRHCP01,91.882,88.023,93.013,87.176,2.430,100
1,ADIRIP,87.750,88.382,90.801,91.707,4.000,120
1,ADIRIP,91.493,89.545,89.989,88.083,4.000,120
1,AFELAY,92.615,87.385,87.385,92.615,3.660,293
1,AFELAY,92.620,87.936,87.323,92.426,3.660,293
1,AFELEC,91.018,89.112,91.231,88.640,2.500,293
1,AHAQUW,90.621,93.893,90.219,85.283,4.250,253
1,AHASIM,101.032,101.627,78.704,78.663,3.820,120
1,AJOTUP,81.887,90.489,97.135,90.489,3.750,273
1,ALUYIP,91.532,89.902,88.476,89.898,3.580,170
1,ALUZAI,95.234,83.718,88.243,92.715,3.040,180
1,AMAYOC,88.349,86.683,94.145,90.291,4.000,150
1,ASELAL,90.011,89.237,93.002,88.140,4.100,150
1,ASIFIS,86.149,94.228,87.342,92.270,2.320,153
1,ASIFOY,96.135,85.207,92.640,86.231,3.910,153
1,ATACIH,95.789,87.876,96.716,79.571,3.480,293
1,AVINOI,95.312,78.847,95.827,90.022,3.240,150
1,AVIZOU,85.466,96.177,87.500,90.954,4.350,150
1,AZOCOI,86.662,92.457,93.943,87.042,4.640,100
1,BAHNAA,95.959,95.133,87.845,81.240,3.700,150
1,BAWQUL,90.632,88.867,92.439,87.955,3.180,295
1,BAWRUM,89.008,91.518,87.826,91.748,3.450,295
1,BAYJAM,89.548,93.973,89.559,86.929,2.800,295
1,BAYWED,87.408,90.800,89.604,92.170,4.300,295
1,BAYWED,88.547,95.107,87.029,89.721,4.300,295
1,BAYWED,86.624,90.253,93.550,89.479,4.300,295
1,BAYWED,87.587,91.175,87.944,93.292,4.300,295
1,BEDQOQ,83.097,96.623,90.479,89.863,4.250,173
1,BEHSAI,94.064,87.057,88.554,90.288,4.200,295
1,BEHSAI10,94.066,87.102,88.535,90.258,4.200,295
1,BENYUR,89.617,88.649,93.993,87.788,2.710,150
1,BEPROE01,94.468,87.774,88.620,89.111,2.020,100
1,BEPRUK,93.048,87.258,89.545,90.265,2.760,120
1,BEPSAR,95.812,84.832,89.778,89.646,4.830,100
1,BESDOT,97.793,96.377,82.895,86.533,4.970,294
1,BEVDAK,90.319,98.959,89.670,80.695,3.360,150
1,BIDGUS,87.964,94.120,76.876,100.887,4.510,208
1,BIDHED,86.103,96.506,84.988,92.541,2.060,248
1,BIJXAU,87.160,87.153,97.689,88.153,4.390,293
1,BIKFIM,91.305,94.395,77.984,96.295,2.500,100
1,BIKFIM,91.422,93.877,78.346,96.522,2.500,100
1,BIMCEF10,89.574,93.362,87.911,89.174,3.700,295
1,BIMCEF11,86.903,89.602,92.425,91.406,2.690,150
1,BIMCEF11,87.485,90.187,92.370,90.303,2.690,150
1,BINLUG,89.998,89.087,89.842,91.000,3.530,150
1,BINPEU,89.977,92.425,90.388,87.340,3.020,173
1,BINPIY,88.485,90.537,90.457,90.566,3.110,173
1,BIWLAU,89.042,98.301,78.354,94.310,4.200,295
