iteration,weather,
0,rainy,
1,cloudy,
2,rainy,
3,rainy,
4,cloudy,
5,cloudy,
6,cloudy,
7,cloudy,
8,windy,
9,rainy,
10,windy,
11,cloudy,
12,rainy,
13,cloudy,
14,cloudy,
15,cloudy,
16,cloudy,
17,cloudy,
18,rainy,
19,rainy,
20,rainy,
21,windy,
22,rainy,
23,cloudy,
24,rainy,
25,rainy,
26,windy,
27,cloudy,
28,windy,
29,rainy,
30,sunny,
31,cloudy,
32,sunny,
33,cloudy,
34,cloudy,
35,rainy,
36,cloudy,
37,rainy,
38,cloudy,
39,windy,
40,windy,
41,rainy,
42,cloudy,
43,sunny,
44,sunny,
45,rainy,
46,rainy,
47,cloudy,
48,cloudy,
49,cloudy,
50,sunny,
51,cloudy,
52,cloudy,
53,sunny,
54,rainy,
55,cloudy,
56,cloudy,
57,rainy,
58,sunny,
59,cloudy,
60,cloudy,
61,cloudy,
62,cloudy,
63,cloudy,
64,rainy,
65,cloudy,
66,rainy,
67,rainy,
68,sunny,
69,cloudy,
70,rainy,
71,cloudy,
72,rainy,
73,rainy,
74,cloudy,
75,cloudy,
76,cloudy,
77,rainy,
78,cloudy,
79,rainy,
80,sunny,
81,cloudy,
82,rainy,
83,rainy,
84,windy,
85,rainy,
86,cloudy,
87,cloudy,
88,windy,
89,cloudy,
90,windy,
91,windy,
92,cloudy,
93,cloudy,
94,cloudy,
95,windy,
96,rainy,
97,cloudy,
98,cloudy,
99,rainy,
